experiment,x_value,policy,hit_rate,avg_latency,evictions,swap_ins,prefetches,mistake_rate,total_accesses
capacity,64,FIFO,0.48214903822380456,6.693195866093062,20881,20945,0,0.11302140702073656,40446
capacity,64,LRU,0.48494288681204567,6.66246353162241,20768,20832,0,0.1087731124807396,40446
capacity,64,LFU,0.17287247193789249,10.095238095238095,33390,33454,0,0.4593590895477688,40446
capacity,64,Heuristic,0.2201453790238837,9.575236117292192,31478,31542,0,0.4229938369654997,40446
capacity,64,Learned,0.4319092122830441,7.2489591059684715,23355,22977,442,0.22980089916506102,40446
capacity,128,FIFO,0.5380754586362063,6.074840528111556,18555,18683,0,0.09846402586903799,40446
capacity,128,LRU,0.5435395341937398,6.014735696978688,18334,18462,0,0.08863314061306861,40446
capacity,128,LFU,0.3023290313009939,8.668051228798893,28090,28218,0,0.44115343538625845,40446
capacity,128,Heuristic,0.35029421945309797,8.140434159125748,26150,26278,0,0.39277246653919695,40446
capacity,128,Learned,0.521856302230134,6.255431933936613,19382,19339,171,0.20152719017645238,40446
capacity,256,FIFO,0.6242891756910448,5.120160213618157,14940,15196,0,0.09196787148594378,40446
capacity,256,LRU,0.6319537160658656,5.035850269495129,14630,14886,0,0.08133971291866028,40446
capacity,256,LFU,0.34243188448795925,8.2205904168521,26340,26596,0,0.4414958238420653,40446
capacity,256,Heuristic,0.6151411758888394,5.220788211442417,15310,15566,0,0.2542782495101241,40446
capacity,256,Learned,0.6660732828957128,4.662725609454582,13303,13506,53,0.16943546568443207,40446
capacity,512,FIFO,0.750284329723582,3.721554665479899,9588,10100,0,0.05809345014601585,40446
capacity,512,LRU,0.7605696484201158,3.608416159818029,9172,9684,0,0.05702136938508504,40446
capacity,512,LFU,0.40530583988527913,7.516318053701231,23541,24053,0,0.4464975999320335,40446
capacity,512,Heuristic,0.8266577659101023,2.881446867428176,6499,7011,0,0.028004308355131558,40446
capacity,512,Learned,0.7644266429313158,3.56851604608614,9067,9528,51,0.13003198411823094,40446
seq_len,512,FIFO,0.5868071461291801,5.52313330279432,3512,3608,0,0.11047835990888383,8732
seq_len,512,LRU,0.5803939532753092,5.593678424186899,3568,3664,0,0.1210762331838565,8732
seq_len,512,LFU,0.2790884104443426,8.908039395327531,6199,6295,0,0.49217615744474913,8732
seq_len,512,Heuristic,0.3432203389830508,8.20258818140174,5639,5735,0,0.4534491931193474,8732
seq_len,512,Learned,0.5618415025194686,5.810627576729256,4062,3826,332,0.26070901033973415,8732
seq_len,1024,FIFO,0.5943126978361268,5.442634009651808,7626,7818,0,0.09703645423551009,19271
seq_len,1024,LRU,0.6005396710082508,5.374137304758445,7506,7698,0,0.08979483080202505,19271
seq_len,1024,LFU,0.3546780135955581,8.078615536298065,12244,12436,0,0.4342535119242078,19271
seq_len,1024,Heuristic,0.49862487675782263,6.495200041513154,9470,9662,0,0.3412882787750792,19271
seq_len,1024,Learned,0.6085828446889108,5.289751439987546,7405,7543,54,0.2025658338960162,19271
seq_len,2048,FIFO,0.6242891756910448,5.120160213618157,14940,15196,0,0.09196787148594378,40446
seq_len,2048,LRU,0.6319537160658656,5.035850269495129,14630,14886,0,0.08133971291866028,40446
seq_len,2048,LFU,0.34243188448795925,8.2205904168521,26340,26596,0,0.4414958238420653,40446
seq_len,2048,Heuristic,0.6151411758888394,5.220788211442417,15310,15566,0,0.2542782495101241,40446
seq_len,2048,Learned,0.6660732828957128,4.662725609454582,13303,13506,53,0.16943546568443207,40446
seq_len,4096,FIFO,0.5999106269399389,5.3947994540996875,32871,33127,0,0.0824130692707858,82799
seq_len,4096,LRU,0.6054179398301912,5.334219012306912,32415,32671,0,0.07953108128952645,82799
seq_len,4096,LFU,0.31840964262853416,8.49131028152514,56179,56435,0,0.42991153277915234,82799
seq_len,4096,Heuristic,0.6043792799429945,5.345644271066075,32501,32757,0,0.23977723762345773,82799
seq_len,4096,Learned,0.6556117827509994,4.783195449220401,28318,28515,59,0.14044070908962497,82799
locality,strong,FIFO,0.7148238366690942,4.12408025915974,11100,11356,0,0.09612612612612613,39821
locality,strong,LRU,0.7172848497024183,4.097009115793174,11002,11258,0,0.09770950736229776,39821
locality,strong,LFU,0.24273624469501018,9.317043770874664,29899,30155,0,0.5599518378541088,39821
locality,strong,Heuristic,0.6809472388940508,4.496722834685216,12449,12705,0,0.3311109326050285,39821
locality,strong,Learned,0.7536224605107857,3.699947264006428,9613,9811,58,0.154478310621034,39821
locality,medium,FIFO,0.6242891756910448,5.120160213618157,14940,15196,0,0.09196787148594378,40446
locality,medium,LRU,0.6319537160658656,5.035850269495129,14630,14886,0,0.08133971291866028,40446
locality,medium,LFU,0.34243188448795925,8.2205904168521,26340,26596,0,0.4414958238420653,40446
locality,medium,Heuristic,0.6151411758888394,5.220788211442417,15310,15566,0,0.2542782495101241,40446
locality,medium,Learned,0.6660732828957128,4.662725609454582,13303,13506,53,0.16943546568443207,40446
locality,weak,FIFO,0.483571288871504,6.668198709172697,20868,21124,0,0.07226375311481695,40904
locality,weak,LRU,0.4918100919225504,6.577571875611187,20531,20787,0,0.059763284788855876,40904
locality,weak,LFU,0.36106493252493643,8.01576862898494,25879,26135,0,0.28478689284748254,40904
locality,weak,Heuristic,0.4765793076471739,6.745110502640329,21154,21410,0,0.20913302448709464,40904
locality,weak,Learned,0.5192890670839038,6.277337179737923,19453,19663,46,0.1404410630751041,40904
