experiment,x_value,policy,hit_rate,avg_latency,evictions,swap_ins,prefetches,mistake_rate,total_accesses
capacity,128,FIFO,0.525065441793846,6.217958216032005,19104,19232,0,0.10934882747068676,40494
capacity,128,LRU,0.5306218205166198,6.156838050081493,18879,19007,0,0.10064092377774246,40494
capacity,128,LFU,0.3016496271052502,8.67553217760656,28151,28279,0,0.4314233952612696,40494
capacity,128,Heuristic,0.34777991801254504,8.168098977626315,26283,26411,0,0.38325153140813456,40494
capacity,128,Learned,0.5118783029584629,6.36631599743175,20096,19766,458,0.22278065286624205,40494
capacity,256,FIFO,0.6235491677779424,5.128315305971255,14988,15244,0,0.09053909794502268,40494
capacity,256,LRU,0.6288832913518052,5.069639946658764,14772,15028,0,0.0798131600324939,40494
capacity,256,LFU,0.34219884427322567,8.223168864523139,26381,26637,0,0.43235662029490923,40494
capacity,256,Heuristic,0.6110040993727466,5.266311058428409,15496,15752,0,0.24980640165203924,40494
capacity,256,Learned,0.6720501802736207,4.596705684792807,13099,13280,75,0.14688144133139935,40494
seq_len,1024,FIFO,0.6036143330571665,5.340358326429163,7463,7655,0,0.10813345839474742,19312
seq_len,1024,LRU,0.6061516155758078,5.31244821872411,7414,7606,0,0.11491772322632857,19312
seq_len,1024,LFU,0.35490886495443247,8.076118475559237,12266,12458,0,0.43437143323006683,19312
seq_len,1024,Heuristic,0.4999482187241094,6.480685584092792,9465,9657,0,0.33977812995245643,19312
seq_len,1024,Learned,0.6231876553438277,5.129173570836773,7233,7277,148,0.17226600304161482,19312
seq_len,2048,FIFO,0.6235491677779424,5.128315305971255,14988,15244,0,0.09053909794502268,40494
seq_len,2048,LRU,0.6288832913518052,5.069639946658764,14772,15028,0,0.0798131600324939,40494
seq_len,2048,LFU,0.34219884427322567,8.223168864523139,26381,26637,0,0.43235662029490923,40494
seq_len,2048,Heuristic,0.6110040993727466,5.266311058428409,15496,15752,0,0.24980640165203924,40494
seq_len,2048,Learned,0.6720501802736207,4.596705684792807,13099,13280,75,0.14688144133139935,40494
locality,strong,FIFO,0.7248411482532586,4.013888540070824,10700,10956,0,0.09803738317757009,39817
locality,strong,LRU,0.7248662631539292,4.013612276163448,10699,10955,0,0.09019534535937938,39817
locality,strong,LFU,0.24356430670316698,9.307933797121832,29863,30119,0,0.5591869537554833,39817
locality,strong,Heuristic,0.6741592787000528,4.571389105156089,12718,12974,0,0.3360591287938355,39817
locality,strong,Learned,0.7382273903106713,3.8685837707511865,10214,10423,47,0.19933424711180733,39817
locality,medium,FIFO,0.6235491677779424,5.128315305971255,14988,15244,0,0.09053909794502268,40494
locality,medium,LRU,0.6288832913518052,5.069639946658764,14772,15028,0,0.0798131600324939,40494
locality,medium,LFU,0.34219884427322567,8.223168864523139,26381,26637,0,0.43235662029490923,40494
locality,medium,Heuristic,0.6110040993727466,5.266311058428409,15496,15752,0,0.24980640165203924,40494
locality,medium,Learned,0.6720501802736207,4.596705684792807,13099,13280,75,0.14688144133139935,40494
